name,year,title,link
icsme,2016,"2016 IEEE International Conference on Software Maintenance and Evolution, ICSME 2016, Raleigh, NC, USA, October 2-7, 2016.",https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,An Ecosystemic and Socio-Technical View on Software Maintenance and Evolution.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,An Empirical Evaluation of Models of Programmer Navigation.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,A Comprehensive Study on the Energy Efficiency of Java's Thread-Safe Collections.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Maintenance Effort Estimation for Open Source Software: A Systematic Literature Review.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,A Taxonomy for Program Metamodels in Program Reverse Engineering.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Automated Extraction of Mixins in Cascading Style Sheets.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,The A?B*A Pattern: Undoing Style in CSS and Refactoring Opportunities It Presents.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Detect Cross-Browser Issues for JavaScript-Based Web Applications Based on Record/Replay.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,An Empirical Study of Internationalization Failures in the Web.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Evolving Requirements-to-Code Trace Links across Versions of a Software System.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Inferring Links between Concerns and Methods with Multi-abstraction Vector Space Model.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Inferring Computational State Machine Models from Program Executions.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,An Optimization Approach for Matching Textual Domain Models with Existing Code.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,A Complete Operator Library for DSL Evolution Specification.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,"Do Contexts Help in Phrase-Based, Statistical Source Code Migration?",https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Evolving NoSQL Databases without Downtime.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Hug the Elephant: Migrating a Legacy Data Analytics Application to Hadoop Ecosystem.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,An Empirical Study on the Characteristics of Python Fine-Grained Source Code Change Types.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Using Topic Model to Suggest Fine-Grained Source Code Changes.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,From Quick Fixes to Slow Fixes: Reimagining Static Analysis Resolutions to Enable Design Space Exploration.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Recommending Code Changes for Automatic Backporting of Linux Device Drivers.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,A Validated Set of Smells in Model-View-Controller Architectures.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Smells Like Teen Spirit: Improving Bug Prediction Performance Using the Intensity of Code Smells.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Comparing Quality Metrics for Cloned and Non Cloned Java Methods: A Large Scale Empirical Study.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,&#34;Automated Debugging Considered Harmful&#34; Considered Harmful: A User Study Revisiting the Usefulness of Spectra-Based Fault Localization Techniques with Professionals Using Real Bugs from Large Systems.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,An Automated Approach for Recommending When to Stop Performance Tests.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Recovering Commit Branch of Origin from GitHub Repositories.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Why are Commits Being Reverted?: A Comparative Study of Industrial and Open Source Projects.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Understanding Variable Code: Reducing the Complexity by Integrating Variability Information.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,"Concepts, Operations, and Feasibility of a Projection-Based Variation Control System.",https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Understanding the Factors That Impact the Popularity of GitHub Repositories.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Who is Who in the Mailing List? Comparing Six Disambiguation Heuristics to Identify Multiple Addresses of a Participant.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,TechLand: Assisting Technology Landscape Inquiries with Insights from Stack Overflow.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Search-Based Peer Reviewers Recommendation in Modern Code Review.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,ICON: Inferring Temporal Constraints from Natural Language API Descriptions.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Learning to Extract API Mentions from Informal Natural Language Discussions.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,"On the Reaction to Deprecation of 25, 357 Clients of 4+1 Popular Java APIs.",https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Accessing Inaccessible Android APIs: An Empirical Study.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Empirical Study on Synthesis Engines for Semantics-Based Program Repair.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Enhancing Automated Program Repair with Deductive Verification.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Automatic Detection of Instability Architectural Smells.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Towards Accurate Binary Correspondence Using Runtime-Observed Values.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,A Quantitative and Qualitative Investigation of Performance-Related Commits in Android Apps.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,On the Vocabulary Agreement in Software Issue Descriptions.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Repairing Intricate Faults in Code Using Machine Learning and Path Exploration.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Continuous Maintenance.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Using Temporal and Semantic Developer-Level Information to Predict Maintenance Activity Profiles.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Modular Change Impact Analysis for Configurable Software.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,How Does the Shift to GitHub Impact Project Collaboration?,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Key Elements Extraction and Traces Comprehension Using Gestalt Theory and the Helmholtz Principle.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Part of Speech Tagging Java Method Names.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Detecting Function Constructors in JavaScript.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,Improving Code Maintainability: A Case Study on the Impact of Refactoring.,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,What is the Cause for a Defect to be Re-Assigned?,https://dblp.org/db/conf/icsm/icsme2016.html
icsme,2016,How Can We Help Software Rearchitecting Efforts? Study of an Industrial Case.,https://dblp.org/db/conf/icsm/icsme2016.html
